Id_Incidente	Area	Efecto	Categoria_del_Incidente	AplicaTipoEmpresa	Subcategoria_del_Incidente
INC_USO_UNRI_ACNA	Impacto en el uso legítimo de recursos	Uso no autorizado de redes y sistemas informáticos	Acceso no autorizado a almacenamiento	AMBAS	Acceso no autorizado a sistemas de almacenamiento.
INC_USO_UNRI_AFBE	Impacto en el uso legítimo de recursos	Uso no autorizado de redes y sistemas informáticos	Ataque de fuerza bruta exitoso	AMBAS	Acceso no autorizado a un sistema mediante la prueba de múltiples credenciales.
INC_USO_UNRI_EXVA	Impacto en el uso legítimo de recursos	Uso no autorizado de redes y sistemas informáticos	Explotación de vulnerabilidades de autenticación	AMBAS	Explotación de fallas en los mecanismos de autenticación para obtener acceso.
INC_USO_UNRI_USCC	Impacto en el uso legítimo de recursos	Uso no autorizado de redes y sistemas informáticos	Uso de credenciales comprometidas	AMBAS	Acceso no autorizado utilizando credenciales válidas previamente robadas o filtradas.
INC_USO_PHIP_ECDP	Impacto en el uso legítimo de recursos	Actividades de phishing o fraude en infraestructura propia	Envío de correo no deseado o phishing desde infraestructura propia	AMBAS	Uso de los servidores de la institución para enviar correos fraudulentos o spam.
INC_USO_PHIP_ISFI	Impacto en el uso legítimo de recursos	Actividades de phishing o fraude en infraestructura propia	Inclusión de sitio fraudulento en infraestructura propia	AMBAS	Alojamiento de un sitio web de phishing en los servidores de la institución.
INC_USO_PHRI_ECSO	Impacto en el uso legítimo de recursos	Actividades de phishing o fraude relacionadas con la institución	Envío de correo no deseado o phishing sobre una organización	AMBAS	Campañas de phishing que suplantan la identidad de la institución, originadas por terceros.
INC_USO_PHRI_ECUR	Impacto en el uso legítimo de recursos	Actividades de phishing o fraude relacionadas con la institución	Envío de correo no deseado o phishing usando remitentes de la institución	AMBAS	Campañas de phishing que falsifican las direcciones de correo de la institución (spoofing).
INC_USO_EJNA_ERCA	Impacto en el uso legítimo de recursos	Ejecución no autorizada de código	Ejecución remota de código a través de parámetros de aplicación	AMBAS	Explotación de vulnerabilidades para ejecutar comandos arbitrarios en el servidor.
INC_USO_EJNA_IRLL	Impacto en el uso legítimo de recursos	Ejecución no autorizada de código	Inyección de requerimientos (prompts) en modelos grandes de lenguaje (LLM)	AMBAS	Manipulación de las entradas de un LLM para generar respuestas no deseadas o maliciosas.
INC_USO_EJNA_ICNQ	Impacto en el uso legítimo de recursos	Ejecución no autorizada de código	Inyección de consultas NoSQL	AMBAS	Explotación de vulnerabilidades para manipular consultas a bases de datos NoSQL.
INC_USO_EJNA_ICSL	Impacto en el uso legítimo de recursos	Ejecución no autorizada de código	Inyección de consultas SQL	AMBAS	Explotación de vulnerabilidades para manipular consultas a bases de datos SQL.
INC_CONF_EXDA_ADVM	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de datos	Adversario en el medio (MitM)	AMBAS	Interceptación de comunicaciones para robar información.
INC_CONF_EXDA_ACMP	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de datos	Apropiación de credenciales mediante phishing	AMBAS	Obtención exitosa de credenciales de usuario a través de un ataque de phishing.
INC_CONF_EXDA_BDSP	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de datos	Base de datos sin protección	OIV	Exposición de bases de datos a internet sin controles de acceso adecuados, usualmente prevenido por un SGSI robusto.
INC_CONF_EXDA_DPDS	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de datos	Documentos públicos con datos sensibles	AMBAS	Publicación de documentos que contienen información sensible sin la debida anonimización.
INC_CONF_EXDA_FDP	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de datos	Filtración de datos personales	AMBAS	Pérdida de confidencialidad de datos personales, con o sin divulgación pública.
INC_CONF_EXDA_KEYL	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de datos	Keylogger en uso	AMBAS	Software malicioso que registra las pulsaciones del teclado para robar información.
INC_CONF_EXDA_DEUC	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de datos	Divulgación de enumeraciones de usuarios y/o credenciales de usuarios en foros	OIV	Falla en la notificación a afectados, una obligación específica de OIV.
INC_CONF_EXCF_FCRA	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de configuraciones	Filtración de configuraciones en rutas de aplicación	AMBAS	Exposición de archivos o parámetros de configuración a través de rutas accesibles.
INC_CONF_EXCF_FSRA	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de configuraciones	Filtración de secretos en rutas de aplicación	AMBAS	Exposición de claves, tokens o contraseñas en rutas accesibles de una aplicación.
INC_CONF_EXCS_ACVE	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de código fuente	Archivo(s) de control de versión expuestos en aplicación	AMBAS	Exposición de directorios o archivos de sistemas de control de versiones (ej..git).
INC_CONF_EXCS_SCVE	Impacto en la confidencialidad de la información	Exfiltración y/o exposición de código fuente	Sistema de control de versión expuesto	AMBAS	Acceso público a un repositorio de código fuente completo.
INC_DISP_INDS_ACT	Impacto en la disponibilidad de un servicio esencial	Indisponibilidad y/o denegación de servicio	Agotamiento de conexiones TCP	AMBAS	Saturación del número de conexiones TCP que un servidor puede manejar.
INC_DISP_INDS_ANSI	Impacto en la disponibilidad de un servicio esencial	Indisponibilidad y/o denegación de servicio	Apagado no autorizado de sistemas informáticos	AMBAS	Desconexión o apagado de sistemas críticos sin autorización.
INC_DISP_INDS_AADN	Impacto en la disponibilidad de un servicio esencial	Indisponibilidad y/o denegación de servicio	Ataque de amplificación DNS/NTP	AMBAS	Uso de servidores DNS o NTP para amplificar un ataque de denegación de servicio.
INC_DISP_INDS_AFCI	Impacto en la disponibilidad de un servicio esencial	Indisponibilidad y/o denegación de servicio	Ataque físico contra infraestructura TI	OIV	Falla en la elaboración de planes de continuidad operacional, una obligación específica de OIV.
INC_DISP_INDS_DSEV	Impacto en la disponibilidad de un servicio esencial	Indisponibilidad y/o denegación de servicio	Denegación de servicio a través de la explotación de vulnerabilidades	AMBAS	Uso de una falla de software para causar la caída de un servicio.
INC_DISP_INDS_ELCC	Impacto en la disponibilidad de un servicio esencial	Indisponibilidad y/o denegación de servicio	Eliminación de configuraciones críticas	AMBAS	Borrado o alteración de archivos de configuración esenciales para el funcionamiento de un sistema.
INC_DISP_INDS_TREV	Impacto en la disponibilidad de un servicio esencial	Indisponibilidad y/o denegación de servicio	Tráfico de red excesivo (volumétrico)	OIV	Falla en la adopción de medidas expeditas para reducir el impacto, una obligación específica de OIV.
INC_DISP_DEGS_SDRC	Impacto en la disponibilidad de un servicio esencial	Degradación de servicio	Secuestro de recursos (cryptojacking)	AMBAS	Uso no autorizado de los recursos de un sistema para minar criptomonedas.
INC_DISP_DEGS_SOBD	Impacto en la disponibilidad de un servicio esencial	Degradación de servicio	Sobrecarga de bases de datos	AMBAS	Ejecución de consultas ineficientes o maliciosas que degradan el rendimiento de la BD.
INC_DISP_DEGS_UEAB	Impacto en la disponibilidad de un servicio esencial	Degradación de servicio	Uso excesivo de ancho de banda	AMBAS	Consumo anómalo de ancho de banda que ralentiza los servicios.
INC_INTG_MNDA_ALBD	Impacto en la integridad de la información	Modificación no autorizada de datos	Alteración de bases de datos	AMBAS	Modificación, inserción o borrado no autorizado de registros en una base de datos.
INC_INTG_MNDA_ALSW	Impacto en la integridad de la información	Modificación no autorizada de datos	Alteración de sitio web (defacement)	AMBAS	Modificación no autorizada del contenido visual de un sitio web.
INC_INTG_MNDA_MDNA	Impacto en la integridad de la información	Modificación no autorizada de datos	Manipulación de datos no autentificados	AMBAS	Alteración de datos que no están protegidos por mecanismos de integridad.
INC_INTG_MNDA_MLDA	Impacto en la integridad de la información	Modificación no autorizada de datos	Modificación de logs de auditoría	OIV	Falla en el mantenimiento de registros del SGSI, una obligación específica de OIV.
INC_INTG_MNAC_ALRF	Impacto en la integridad de la información	Manipulación no autorizada de configuración	Alteración de reglas de firewall	AMBAS	Modificación no autorizada de las reglas de un firewall para permitir o denegar tráfico.
